Rank_New,HDI_Cat,Country,HDI,Exp_Life,Exp_School,Mean_School,GNI,GNI_HDI,Rank_Old,Latitude,Longitude
178,L,Liberia,0.481,60.7472,10.42078972,5.082,1288.74235,7,179,5.7499721,-9.3658524
179,L,Congo (Democratic Republic of the),0.479,59.193,9.817864451,7.018696516,1076.098781,9,180,-2.9814344,23.8222636
180,L,Afghanistan,0.478,61.9824,10.26384398,2.98506999,1824.190915,-2,177,33.7680065,66.2385139
181,L,Sierra Leone,0.477,60.0624,9.57339109,4.576081285,1621.512579,-1,181,8.6400349,-11.8400269
182,L,Guinea,0.465,58.8922,9.805297465,2.202125952,2480.887182,-13,182,10.7226226,-10.7083587
183,L,Yemen,0.455,63.7534,9.09871006,3.2,1314.270189,1,183,16.3471243,47.8915271
184,L,Burkina Faso,0.449,59.2696,9.142100334,2.114962259,2117.915916,-8,185,12.0753083,-1.6880314
185,L,Mozambique,0.446,59.3247,10.2191516,3.197641838,1198.073924,2,184,-19.302233,34.9144977
186,L,Mali,0.428,58.9414,7.423037617,2.31,2132.629443,-11,186,16.3700359,-2.2900239
187,L,Burundi,0.426,61.6627,10.72272189,3.129266883,731.7867086,4,187,-3.426449,29.9324519
188,L,Central African Republic,0.404,53.8947,8.040171714,4.334,966.0586107,1,188,7.0323598,19.9981227
189,L,Niger,0.4,61.5763,6.957111988,2.116717299,1239.866936,-3,189,17.7356214,9.3238432
190,L,Chad,0.394,52.5254,8.035914334,2.57377421,1364.169417,-7,190,15.6134137,19.0156172
191,L,South Sudan,0.385,54.9752,5.54251,5.726140022,767.787,-1,191,7.8699431,29.6667897
